City,Year,Homicide,Assaults,Shooting,Robbery,Breaking_entering,MV_Theft,Total
Ottawa-Gatineau,2019,13,63,109,746,2597,1098,4626
Ottawa-Gatineau,2020,10,54,86,521,2539,923,4133
Ottawa-Gatineau,2021,15,44,127,469,2418,1226,4299
Ottawa-Gatineau,2022,16,38,108,559,2935,2336,5992
Ottawa-Gatineau,2023,18,30,125,589,2770,2420,5952
Kingston,2019,3,4,7,38,617,201,870
Kingston,2020,3,4,4,51,791,180,1033
Kingston,2021,4,2,7,55,775,213,1056
Kingston,2022,8,6,4,46,753,330,1147
Kingston,2023,0,3,7,61,689,202,962
Belleville-Quinte West,2019,4,4,4,33,342,82,469
Belleville-Quinte West,2020,2,3,3,17,271,102,398
Belleville-Quinte West,2021,2,4,6,24,302,118,456
Belleville-Quinte West,2022,1,4,5,23,343,167,543
Belleville-Quinte West,2023,1,1,5,27,322,166,522
Peterborough,2019,1,2,2,37,345,79,466
Peterborough,2020,3,1,7,55,306,115,487
Peterborough,2021,2,2,5,60,395,119,583
Peterborough,2022,3,4,7,66,386,173,639
Peterborough,2023,4,4,4,73,300,205,590
Toronto,2019,130,543,737,5255,14981,10641,32287
Toronto,2020,105,320,775,3864,11614,11509,28187
Toronto,2021,116,331,680,3160,9748,14021,28056
Toronto,2022,131,324,657,4361,10721,21005,37199
Toronto,2023,116,362,712,4707,13436,28389,47722
Hamilton,2019,14,34,59,491,2581,1787,4966
Hamilton,2020,18,25,113,417,1911,1655,4139
Hamilton,2021,20,19,56,372,1967,1881,4315
Hamilton,2022,5,27,94,484,2014,2056,4680
Hamilton,2023,11,33,90,444,2201,2336,5115
St. Catharines-Niagara,2019,6,26,37,177,2004,856,3106
St. Catharines-Niagara,2020,5,28,29,193,1697,864,2816
St. Catharines-Niagara,2021,6,35,37,177,1846,882,2983
St. Catharines-Niagara,2022,9,58,21,196,1391,894,2569
St. Catharines-Niagara,2023,12,67,19,178,1255,826,2357
Kitchener-Cambridge-Waterloo,2019,5,90,45,379,2457,844,3820
Kitchener-Cambridge-Waterloo,2020,8,77,34,321,2380,923,3743
Kitchener-Cambridge-Waterloo,2021,2,70,51,283,2807,897,4110
Kitchener-Cambridge-Waterloo,2022,7,73,87,389,2790,1102,4448
Kitchener-Cambridge-Waterloo,2023,5,64,84,366,2359,1093,3971
Brantford,2019,4,29,31,87,739,571,1461
Brantford,2020,5,24,12,99,697,434,1271
Brantford,2021,5,19,12,65,605,464,1170
Brantford,2022,7,13,17,100,549,509,1195
Brantford,2023,0,8,18,65,539,588,1218
Guelph,2019,0,9,4,42,599,190,844
Guelph,2020,3,13,8,58,533,173,788
Guelph,2021,0,7,7,38,547,199,798
Guelph,2022,2,9,13,39,508,268,839
Guelph,2023,4,10,11,41,397,203,666
London,2019,5,11,10,302,2463,1472,4263
London,2020,8,14,17,298,2510,1449,4296
London,2021,16,22,32,395,2653,1619,4737
London,2022,7,24,38,374,2481,1669,4593
London,2023,7,37,37,375,1585,1311,3352
Windsor,2019,6,26,36,212,2011,1029,3320
Windsor,2020,5,8,43,190,1627,805,2678
Windsor,2021,10,11,21,177,1860,994,3073
Windsor,2022,4,16,37,162,1828,937,2984
Windsor,2023,5,29,43,205,1611,972,2865
Barrie,2019,3,8,6,114,483,250,864
Barrie,2020,0,3,11,73,379,238,704
Barrie,2021,2,9,7,76,441,332,867
Barrie,2022,4,7,16,55,392,459,933
Barrie,2023,1,5,13,85,427,396,927
Greater Sudbury,2019,3,23,2,81,895,258,1262
Greater Sudbury,2020,5,15,6,82,983,253,1344
Greater Sudbury,2021,6,9,7,97,853,264,1236
Greater Sudbury,2022,11,20,13,92,689,293,1118
Greater Sudbury,2023,5,31,9,94,613,267,1019
Thunder Bay,2019,7,12,4,166,735,283,1207
Thunder Bay,2020,9,10,10,135,543,190,897
Thunder Bay,2021,6,7,8,193,533,194,941
Thunder Bay,2022,15,1,2,159,406,165,748
Thunder Bay,2023,7,9,5,210,405,164,800
