City,Bach,1Bed,2Bed,3Bed,avg_rent
Barrie,1145,1427,1610,1781,1491
Belleville - Quinte West,953,1199,1333,1779,1316
Brantford,984,1215,1432,1403,1258
Guelph,1160,1508,1646,1695,1502
Hamilton,1021,1367,1617,1705,1428
Kingston,1035,1329,1609,2141,1528
Kitchener-Cambridge-Waterloo,1164,1346,1658,2142,1578
London,959,1186,1479,1683,1327
St. Catharines-Niagara,951,1225,1388,1479,1261
Ottawa-Gatineau,1173,1411,1698,2119,1600
Peterborough,877,1173,1411,1640,1275
Greater Sudbury,877,1043,1361,1535,1204
Thunder Bay,823,1054,1320,1678,1219
Toronto,1414,1691,1961,2191,1814
Windsor,856,1055,1253,1341,1126
