"Incident-based crime statistics, by detailed violations, Canada, provinces, territories, Census Metropolitan Areas and Canadian Forces Military Police c 1 2 3 4 5 6 7 8"
"Frequency: Annual"
"Table: 35-10-0177-01 (formerly CANSIM 252-0051)"
"Release date: 2024-07-25"
"Geography: Canada, Province or territory,"
""
""

,,"Violations 10","Operation while impaired causing death (alcohol)  [9210] 11","Operation while impaired causing death (alcohol and drugs)  [9213] 11","Operation while impaired causing death (drugs)  [9215] 11","Operation while impaired causing bodily harm (alcohol)  [9220] 11","Operation while impaired causing bodily harm (alcohol and drugs)  [9223] 11","Operation while impaired causing bodily harm (drugs)  [9225] 11","Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol)  [9270] 11","Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)  [9273] 11","Failure or refusal to comply with demand, accident resulting in bodily harm (drugs)  [9275] 11","Failure or refusal to comply with demand, accident resulting in death (alcohol)  [9280] 11","Failure or refusal to comply with demand, accident resulting in death (alcohol and drugs)  [9283] 11","Failure or refusal to comply with demand, accident resulting in death (drugs)  [9285] 11","Dangerous operation, causing death  [9110] 11","Dangerous operation, causing bodily harm  [9120] 11","Dangerous operation evading police, causing death  [9131] 11","Dangerous operation evading police, causing bodily harm  [9132] 11","Causing death by criminal negligence while street racing  [9410] 11","Causing bodily harm by criminal negligence while street racing  [9420] 11","Dangerous operation causing death while street racing  [9430] 11","Dangerous operation causing bodily harm while street racing  [9440] 11"
"Geography 3 8 9","Statistics","Reference period"
"Ottawa-Gatineau, Ontario part [35505] 12 13 14",,,"Number",,,,,,,,,,,,,,,,,,,
,"Actual incidents","2019","0","0","0","3","1","0","0","0","0","0","0","0","2","8","0","0","0","0","0","0"
,,"2020","0","0","0","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
,,"2021","0","0","0","7","0","0","2","0","0","0","0","0","0","13","0","0","0","0","0","0"
,,"2022","0","0","0","5","0","1","0","0","0","0","0","0","2","7","0","0","0","0","0","0"
,,"2023","3","0","0","7","0","0","1","0","0","1","0","0","3","10","0","0","0","0","0","0"
"Kingston, Ontario [35521] 15",,"2019","0","0","0","1","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0"
,,"2020","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
,,"2021","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
,,"2022","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
,,"2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belleville-Quinte West, Ontario [35522] 15 16",,"2019","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
,,"2020","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
,,"2021","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0"
,,"2022","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
,,"2023","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"Peterborough, Ontario [35529] 15",,"2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
,,"2020","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
,,"2021","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
,,"2022","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0"
,,"2023","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Toronto, Ontario [35535] 17",,"2019","3","0","0","18","0","1","1","0","0","0","0","0","16","42","0","0","0","0","0","0"
,,"2020","2","0","1","5","0","1","1","0","0","0","0","0","9","59","0","0","0","0","0","0"
,,"2021","4","1","1","12","0","1","0","1","0","0","0","0","13","44","0","0","0","0","0","0"
,,"2022","1","1","0","19","2","1","1","0","0","0","0","0","13","49","0","0","0","0","0","0"
,,"2023","3","1","1","18","3","0","0","0","0","0","0","0","14","56","0","0","0","0","0","0"
"Hamilton, Ontario [35537] 17",,"2019","0","0","0","1","0","0","0","0","0","0","0","0","3","9","0","0","0","0","0","0"
,,"2020","0","0","0","2","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","0"
,,"2021","0","0","0","3","0","2","0","0","0","0","0","0","2","8","0","0","0","0","0","0"
,,"2022","0","0","0","2","0","0","0","0","0","0","0","0","2","10","0","0","0","0","0","0"
