"Incident-based crime statistics, by detailed violations, Canada, provinces, territories, Census Metropolitan Areas and Canadian Forces Military Police c 1 2 3 4 5 6 7 8"
"Frequency: Annual"
"Table: 35-10-0177-01 (formerly CANSIM 252-0051)"
"Release date: 2024-07-25"
"Geography: Canada, Province or territory,"
""
""

,,"Violations 10","Homicide  [110] 11 12","Total other assaults  [140]","Total firearms, use of, discharge, pointing  [150]","Total robbery  [160] 13","Total breaking and entering  [210]","Total theft of motor vehicle  [220] 14"
"Geography 3 8 9","Statistics","Reference period"
"Ottawa-Gatineau, Ontario part [35505] 15 16 17",,,"Number",,,,,
,"Actual incidents","2019","13","63","109","746","2,597","1,098"
,,"2020","10","54","86","521","2,539","923"
,,"2021","15","44","127","469","2,418","1,226"
,,"2022","16","38","108","559","2,935","2,336"
,,"2023","18","30","125","589","2,770","2,420"
"Kingston, Ontario [35521] 18",,"2019","3","4","7","38","617","201"
,,"2020","3","4","4","51","791","180"
,,"2021","4","2","7","55","775","213"
,,"2022","8","6","4","46","753","330"
,,"2023","0","3","7","61","689","202"
"Belleville-Quinte West, Ontario [35522] 18 19",,"2019","4","4","4","33","342","82"
,,"2020","2","3","3","17","271","102"
,,"2021","2","4","6","24","302","118"
,,"2022","1","4","5","23","343","167"
,,"2023","1","1","5","27","322","166"
"Peterborough, Ontario [35529] 18",,"2019","1","2","2","37","345","79"
,,"2020","3","1","7","55","306","115"
,,"2021","2","2","5","60","395","119"
,,"2022","3","4","7","66","386","173"
,,"2023","4","4","4","73","300","205"
"Toronto, Ontario [35535] 20",,"2019","130","543","737","5,255","14,981","10,641"
,,"2020","105","320","775","3,864","11,614","11,509"
,,"2021","116","331","680","3,160","9,748","14,021"
,,"2022","131","324","657","4,361","10,721","21,005"
,,"2023","116","362","712","4,707","13,436","28,389"
"Hamilton, Ontario [35537] 20",,"2019","14","34","59","491","2,581","1,787"
,,"2020","18","25","113","417","1,911","1,655"
,,"2021","20","19","56","372","1,967","1,881"
,,"2022","5","27","94","484","2,014","2,056"
,,"2023","11","33","90","444","2,201","2,336"
"St. Catharines-Niagara, Ontario [35539] 21",,"2019","6","26","37","177","2,004","856"
,,"2020","5","28","29","193","1,697","864"
,,"2021","6","35","37","177","1,846","882"
,,"2022","9","58","21","196","1,391","894"
,,"2023","12","67","19","178","1,255","826"
"Kitchener-Cambridge-Waterloo, Ontario [35541]",,"2019","5","90","45","379","2,457","844"
,,"2020","8","77","34","321","2,380","923"
,,"2021","2","70","51","283","2,807","897"
,,"2022","7","73","87","389","2,790","1,102"
